       0.100000,0.100000,0.100000,8307.614033
       0.100000,0.100000,0.100000,8234.167816
       0.600000,0.100000,0.100000,5065.356362
       0.100000,0.600000,0.100000,12691.576665
       0.100000,0.100000,0.600000,35503.683351
       0.433333,0.433333,-0.400000,4831.391196
       0.600000,0.600000,-0.900000,50615.350196
       0.655556,-0.177778,-0.233333,8280.518280
       0.516667,0.016667,-0.150000,8628.658169
       0.100000,0.600000,0.100000,6189.692287
       0.655556,0.655556,-0.233333,2241.763540
